運勢,運勢コード,願い事,商い,学問
大吉,1,叶う,繁盛,良し
中吉,2,努力が必要,損なし,普通
小吉,3,叶わない,損あり,悪し
末吉,4,叶う,繁盛,良し
吉,5,努力が必要,損なし,普通
凶,6,叶わない,損あり,悪し
大吉,1,叶う,繁盛,良し
中吉,2,努力が必要,損なし,普通
小吉,3,叶わない,損あり,悪し
末吉,4,叶う,繁盛,良し
吉,5,努力が必要,損なし,普通
凶,6,叶わない,損あり,悪し
大吉,1,叶う,繁盛,良し
中吉,2,努力が必要,損なし,普通
小吉,3,叶わない,損あり,悪し
末吉,4,叶う,繁盛,良し
吉,5,努力が必要,損なし,普通
凶,6,叶わない,損あり,悪し
大吉,1,叶う,繁盛,良し
中吉,2,努力が必要,損なし,普通
小吉,3,叶わない,損あり,悪し
末吉,4,叶う,繁盛,良し
吉,5,努力が必要,損なし,普通
凶,6,叶わない,損あり,悪し
大吉,1,叶う,繁盛,良し
中吉,2,努力が必要,損なし,普通
小吉,3,叶わない,損あり,悪し
末吉,4,叶う,繁盛,良し
吉,5,努力が必要,損なし,普通
凶,6,叶わない,損あり,悪し
大吉,1,叶う,繁盛,良し
中吉,2,努力が必要,損なし,普通
小吉,3,叶わない,損あり,悪し
末吉,4,叶う,繁盛,良し
吉,5,努力が必要,損なし,普通
凶,6,叶わない,損あり,悪し
大吉,1,叶う,繁盛,良し
中吉,2,努力が必要,損なし,普通
小吉,3,叶わない,損あり,悪し
末吉,4,叶う,繁盛,良し
吉,5,努力が必要,損なし,普通
凶,6,叶わない,損あり,悪し
大吉,1,叶う,繁盛,良し
中吉,2,努力が必要,損なし,普通
小吉,3,叶わない,損あり,悪し
末吉,4,叶う,繁盛,良し
吉,5,努力が必要,損なし,普通
凶,6,叶わない,損あり,悪し
大吉,1,叶う,繁盛,良し
中吉,2,努力が必要,損なし,普通
