運勢,願い事,商い,学問
大吉,叶う,繁盛,良し
中吉,努力が必要,損なし,普通
小吉,叶わない,損あり,悪し
末吉,叶う,繁盛,良し
吉,努力が必要,損なし,普通
凶,叶わない,損あり,悪し
大吉,叶う,繁盛,良し
中吉,努力が必要,損なし,普通
小吉,叶わない,損あり,悪し
末吉,叶う,繁盛,良し
吉,努力が必要,損なし,普通
凶,叶わない,損あり,悪し
大吉,叶う,繁盛,良し
中吉,努力が必要,損なし,普通
小吉,叶わない,損あり,悪し
末吉,叶う,繁盛,良し
吉,努力が必要,損なし,普通
凶,叶わない,損あり,悪し
大吉,叶う,繁盛,良し
中吉,努力が必要,損なし,普通
小吉,叶わない,損あり,悪し
末吉,叶う,繁盛,良し
吉,努力が必要,損なし,普通
凶,叶わない,損あり,悪し
大吉,叶う,繁盛,良し
中吉,努力が必要,損なし,普通
小吉,叶わない,損あり,悪し
末吉,叶う,繁盛,良し
吉,努力が必要,損なし,普通
凶,叶わない,損あり,悪し
大吉,叶う,繁盛,良し
中吉,努力が必要,損なし,普通
小吉,叶わない,損あり,悪し
末吉,叶う,繁盛,良し
吉,努力が必要,損なし,普通
凶,叶わない,損あり,悪し
大吉,叶う,繁盛,良し
中吉,努力が必要,損なし,普通
小吉,叶わない,損あり,悪し
末吉,叶う,繁盛,良し
吉,努力が必要,損なし,普通
凶,叶わない,損あり,悪し
大吉,叶う,繁盛,良し
中吉,努力が必要,損なし,普通
小吉,叶わない,損あり,悪し
末吉,叶う,繁盛,良し
吉,努力が必要,損なし,普通
凶,叶わない,損あり,悪し
大吉,叶う,繁盛,良し
